reminder,reply,intent,dpd,amount,loan,tone,region,ptp_date,ptp_amount,dispute_type,excuse_type,cibil_mentioned,legal_mentioned
"Re, ₹28000 ka payment overdue hai. RBI guidelines ke according humein action lena hoga. Please clear karein.","Sorry 🤕, abhi nahi de sakte. Ek hafte mein de dunga",refusal,38,28000,BNPL payment,worried,hyderabad,next week,,,financial difficulties,False,True
"Kunal ji, ₹10000 EMI 8 din overdue. Late fees ₹500 already lagech. Abhi settle kar lein: rzp.io/pay","Kay re, itna late fees kyu laga diya? Kal tak kar dunga, sorry 🙏",promise_to_pay,8,10000,BNPL payment,worried,mumbai,kal,10500.0,,,False,False
"Ankit bhai ₹8500 ka EMI baki hai, 62 din se pending hai. Turant payment karein.","Yaar maine 10 din pehle UPI kar diya tha, aap check kar lo system mein problem hai.",dispute,62,8500,mobile loan EMI,polite,delhi,,,payment,system,False,False
"Anjali ji, ₹5500 ka EMI due hai. Late fees ₹1500 lag gaya hai.","Illalla, maine paise arrange karne hai, kal tak ₹3000 kar deta hoon, baaki ₹2500 next week?",dispute,33,5500,personal loan EMI,evasive,bangalore,kal,3000.0,,arranging funds,False,False
"Boss, aapka ₹15000 ka BNPL payment 30 din se overdue hai. UPI se abhi payment karein, varna CIBIL score par asar padega. Okay ra?","Abhi kuch din ka time do, main settlement karunga 🤞",refusal,30,15000,BNPL payment,polite,hyderabad,,,,time_request,True,False
"Deepak ji ₹9800 overdue ho gaya 12 din. Payment link bhejta hoon, turant settle karein, yaar.","bhai sach mein paisa nahi h, ghar mein shaadi hai 1 month aur do please 🙏",needs_more_time,12,9800,mobile loan EMI,resigned,chennai,1 month,9800.0,,family event,False,False
"Amit ji ₹8200 EMI bahut overdue ho gayi. Turant payment karein, RBI rules ke mutabiq CIBIL score par asar padega.","yaar business mein thoda problem chal raha, next month double kar dunga, pakka",needs_more_time,12,8200,mobile loan EMI,desperate,mumbai,next month,16400.0,,business,True,False
"Aapka ₹15000 ka bike loan EMI 1 day se overdue hai, lagech settlement karein please. Aapko late fees bhi dena padega","Sorry yaar, abhi thoda time de do, next week mein karunga",refusal,1,15000,bike loan EMI,cooperative,mumbai,next week,,,request for time,False,False
Sir ₹8500 EMI due hai 55 din se. Bekku payment karein.,illa 10 din pehle UPI maadtini thi transaction Reference number hai 123456. Aapke system mein problem hai,dispute,55,8500,mobile loan EMI,angry,bangalore,,,payment not updated,technical issue,False,False
"Amit ji, ₹8000 EMI 10 din overdue. Late fees lag rahi hai. Abhi karein: rzp.io/pay 🕒","bhai, salary abhi nahi aayi. Agli salary se pakka kar dunga, 15th tak zarur karenge 🤞",promise_to_pay,10,8000,BNPL payment,cooperative,mumbai,15th,8000.0,,salary_delay,False,False
Sir ₹22000 ke EMI ke liye ₹1000 late fees lag gaye hain. UPI maadtini use karein please.,"Nahi sir, aap kuch din aur dein. Main aapko transaction reference jald hi bhejta hun.",refusal,44,23000,business loan EMI,resigned,bangalore,null,,null,avoidance,False,False
"Arre, ₹12000 ka EMI 30 din ho gaye. Aapka CIBIL score affect ho raha hai. UPI se thoda jaldi karein: rzp.io/pay","Bhai, thoda time do. Kal salary aayegi, usse pehle transfer kar dunga 🙏",promise_to_pay,30,12000,BNPL payment,polite,mumbai,tomorrow,12000.0,,salary_pending,True,False
"Rohan bhai, ₹3200 bike loan EMI 2 din ho gaye overdue. Late fees lag raha hai. Turant UPI se payment karein: rzp.io/pay 🙏","Yaar kal pakka kar dunga, aaj ghar mein kuch kaam tha 🙏",promise_to_pay,2,3200,bike loan EMI,polite,delhi,kal,3200.0,,personal,False,False
"Ankit ji ₹15000 EMI overdue hai, legal action lena pad sakta hai.","Bhai ₹7500 abhi bhejta hun, baaki 30 tarikh ko pakka. Payment link bhej do, aur settlement ke liye bhi bolna.",partial_payment,12,15000,credit line EMI,resigned,delhi,30,7500.0,,,False,True
"Arre Amit, ₹5500 ka EMI 31 din ho gaye. Abhi tak kyun nahi diya? Nako, CIBIL pe impact padega. UPI se jaldi karein: rzp.io/pay 🙏","Sorry bhai, kal pakka kar dunga. Thoda busy tha office mein 🙏",promise_to_pay,31,5500,personal loan EMI,polite,mumbai,kal,5500.0,,busy,True,False
"Vishal ji, ₹5000 bike loan EMI 15 din ho gaye. UPI se kar dein: rzp.io/pay","sun bhai, kal tak karwa dunga, aaj thoda busy tha 🙏",promise_to_pay,15,5000,bike loan EMI,polite,delhi,tomorrow,5000.0,,work,False,False
Sir ₹20000 ke against ₹5000 late fees lag gaye hain. Settlement options discuss karte hain?,"Nahi sir, aap kuch din aur dein. Bekku main kuch din mein transaction kar dunga.",refusal,44,25000,business loan EMI,evasive,bangalore,null,,null,avoidance,False,False
"Sir, ₹1800 ka EMI 20 din ho gaye. Late fees ₹300 lag gaye. UPI maadtini use karein: rzp.io/pay. CIBIL score maintain karna zaroori hai.","dekhiye sir, maine pata nahi sir, office mein kuchh issues ho gaye, kal tak zaroor karwa dunga",promise_to_pay,20,1800,BNPL payment,evasive,bangalore,kal,1800.0,,busy,True,False
"Rahul ji ₹9500 BNPL payment 41 din overdue. Late fees lag rahi hai, UPI se settle karein. CIBIL score par asar pad sakta hai.","arre thoda time do, mera business abhi slow chal raha hai. Next month aapko double paisa bhejunga 🙏",needs_more_time,41,9500,BNPL payment,polite,mumbai,,,,business_problem,True,False
"Vikram sir, ₹12000 bike loan EMI bahut overdue hai. CIBIL score kharab ho sakta hai, turant UPI se payment karein.","Yaar, business mein thoda problem hai, 10 din mein ek baar mein payment kar dunga, bekku sir",needs_more_time,15,12000,bike loan EMI,cooperative,bangalore,10 din mein,12000.0,,,True,False
"Bhai, ₹5700 bike loan EMI bahut der se due hai. Legal notice bhejna padega. Pakka payment karein.","Sorry bhai, maine paise arrange karne mein thoda time lagaya. Kal tak payment karwa deta hoon.",dispute,51,5700,bike loan EMI,desperate,delhi,kal,5700.0,,financial issue,False,True
Kumar ji ₹15000 ka EMI 14 din se overdue hai. Aapka CIBIL score impact ho sakta hai. Turant settlement karein. UPI link bhej raha hoon.,"Definitely boss, kal tak kar dunga. Sorry yaar, thoda tight hai.",needs_more_time,14,15000,personal loan EMI,polite,hyderabad,tomorrow,15000.0,,temporary financial issue,True,False
Sir ₹18000 personal loan EMI 49 din overdue hai. Aapko late fees ka notice mil chuka hoga. Aap UPI se payment kar sakte hain. Kab tak kar sakte hain?,"Mujhe paisa nahi hai, aapko kuch din aur de do. Main aapko interest ke saath payment karunga. Bas meri CIBIL report ko kharab nahi karna",needs_more_time,49,18000,personal loan EMI,worried,hyderabad,,,,financial_problem,True,False
"Sunil bhai, ₹12000 EMI 9 din se overdue hai, late fees lag rahi hai. Aaj hi settlement karwa do, UPI link bhej raha hu","Yaar, business mein thoda problem chal raha hai, next week pakka kar dunga, aap turant ka pressure nahi do please 🙏",needs_more_time,9,12000,business loan EMI,cooperative,delhi,next week,12000.0,,business problem,False,False
"Kapil ji ₹1800 bike loan EMI 2 din se pending hai. Aapki EMI history achhi rahi hai, turant payment karein taaki CIBIL score maintain rahe. UPI link: upi://pay?pa=rbi@loan&pn=Loan%20Repayment&am=1800","Yaar business mein problem chal raha hai, mahine ke end tak zaroor kar dunga 🤞",needs_more_time,2,1800,bike loan EMI,worried,punjab,mahine ke end,,,,True,False
"Kumar ji aapki ₹12000 ki EMI bahut der se pending hai. Aaj hi UPI se payment karein, nahi toh legal action lena padega.","yaar business thoda slow chal raha hai, 15 din aur do, turant payment kar dunga",needs_more_time,51,12000,personal loan EMI,evasive,mumbai,15 days,12000.0,,business_problem,False,True
"Nako Priya ji, ₹18000 EMI overdue hai. Aapko pata hai CIBIL score par bhi asar padta hai. ₹9000 abhi de sakte hai to late fees bach sakte hai.","Sorry bhai, ₹9000 thoda mushkil hai. ₹4500 abhi de sakti hun, baaki 15 tarikh ko.",partial_payment,14,18000,personal loan EMI,desperate,mumbai,15 days,4500.0,,,True,False
"Vikram ji, ₹15000 EMI bahut overdue hai. RBI ke rules ke mutabik, humein aapko legal notice bhejna padega. Kay aap abhi settlement kar sakte hain?","Yaar, abhi nahi kar sakte. Business mein problem chal raha hai. Thoda time do, next month kar dunga.",needs_more_time,59,15000,mobile loan EMI,cooperative,chennai,next month,,,business_problem,False,True
Priya ji ₹28000 clear karein please. Ab toh EMI bounce charges ₹1000 lag gaye. UPI se ₹5000 kam se kam karein.,"Sorry sir, abhi kuchh din aur de do. Ghar pe kuchh problem hai. Kal se kuchh karenge",refusal,54,28000,bike loan EMI,worried,bangalore,tomorrow,5000.0,,personal_problem,False,False
"₹11000 ka payment due ho gaya hai, re. Aapka CIBIL score bhi kharab hoga, agar nahi pay kiya.","Sorry re, main try karta hun kal tak kar du.",refusal,21,11000,credit line EMI,worried,mumbai,kal,11000.0,,time constraint,True,False
"Ramesh ji ₹15000 pending hai, 47 days ho gaye, warna legal notice jaayega, enti okay ra?","thik hai, abhi 7500 bhejta hun, baaki 25 tarikh ko zaroor karenge, sorry for delay 🤕",partial_payment,47,15000,BNPL payment,worried,hyderabad,25,7500.0,,,False,True
"Sir, ₹18000 ka EMI bohot din se pending hai. Aap UPI maadtini ₹9000 abhi bhej sakte hain?","Sir, sorry 😊. 9000 abhi nahi ho payega, lekin 6000 kal bekku kar dunga",partial_payment,79,18000,BNPL payment,polite,bangalore,kal,6000.0,,financial constraints,False,False
"Amit ji, ₹9500 EMI kal due thi. Aaj tak payment nahi aayi. Late fees lagech hai. UPI se kar dein: rzp.io/pay","bhai kal office mein busy tha, abhi kar dunga, sorry 🙏",promise_to_pay,9,9500,personal loan EMI,polite,pune,abhi,9500.0,,busy,False,False
₹25000 pending hai aapke BNPL payment mein. 43 days ho gaye hain overdue. Legal notice bhi aa sakta hai.,bekku sir ₹12500 abhi bhej raha hun baaki 1 month mein pakka,partial_payment,43,25000,BNPL payment,worried,bangalore,1 month,12500.0,,temporary financial difficulty,False,True
"Nalini ji, ₹20000 ka EMI clear karna hai. Late fees bhi lag rahi hai. Aapne CIBIL score kharab ho jayega agar aapne settle nahi kiya.","Abhi nahi kar sakta, court mein milta hun 😡",refusal,84,20000,mobile loan EMI,angry,mumbai,,,,helplessness,True,False
"Illla ₹18000 ka EMI due hai, please UPI maadtini karke payment karein. Legal action lena padega agar payment nahi hui.","Mujhe pata hai sir, lekin mere pass abhi paise nahi hain. Main 1 hafte mein payment karunga, please legal action nahi karein.",dispute,90,18000,credit line EMI,worried,bangalore,1 week,18000.0,,lack of funds,False,True
Sir ₹4500 ki EMI 20 din se pending hai. UPI maadtini payment karein.,illa payment 10 din mein kar deta hoon.,dispute,20,4500,mobile loan EMI,polite,bangalore,,,payment timeline,delayed payment,False,False
"Rohan anna, ₹4500 BNPL payment 23 din overdue hai. Late fees bhi lag rahi hai. Okay ra, aap CIBIL score ko impact karte hue isse settle karein.","boss, sach mein paisa nahi h, 15 din aur do please 🙏",needs_more_time,23,4500,BNPL payment,polite,hyderabad,15 days,,,financial_difficulty,True,False
Rahul ji ₹3800 EMI 30 din ho gaye. UPI se thoda jaldi karein: rzp.io/pay. CIBIL score bhi affect hoga,arre bhai sorry 🙏 kal payment kar dete hain. office mein thoda busy chal raha hai. thodi fees bhi lagech kya?,promise_to_pay,30,3800,credit line EMI,polite,mumbai,kal,3800.0,,busy,True,False
"Hi, Priya ji, aapka ₹2500 ka BNPL payment due hai. Late fees bhi lagech. Jaldi karein.","Haan, maine kal tak karne ka socha tha",dispute,9,2500,BNPL payment,evasive,delhi,yesterday,,,lack of clarity,False,False
"Rahul ji, ₹22000 mobile loan EMI bahut overdue hai. Settlement offer karte hain, turant contact karein.","Nako bhai, paisa nahi hai, business mein problem chal raha hai, kay 2 hafte mein kar dunga.",needs_more_time,38,22000,mobile loan EMI,evasive,mumbai,,,,business,False,False
"Bhai, ₹15000 EMI 72 din overdue hai. CIBIL report affect ho raha hai. Turant payment karein: rzp.io/pay, nahi toh legal action lena padega","Arey, itna pressure kyun? Kal pakka kar dunga, aaj office mein busy tha 😒",promise_to_pay,72,15000,business loan EMI,angry,delhi,kal,15000.0,,busy,True,True
"Sir, ₹12000 mobile loan EMI 27 days overdue. Full payment karein, CIBIL score impact ho sakta hai.","Illa bekku 5000 abhi bhej sakta hun, baaki 10 tarikh ko pakka.",partial_payment,27,12000,mobile loan EMI,polite,bangalore,10,7000.0,,temporary financial difficulty,True,False
"Rahul ji, ₹4500 EMI 25 din overdue. Late fees ₹500 lagu hoga. Settlement karein: rzp.io/pay","haan bhai, kal pakka kar dunga. Aaj office mein meeting thi, time nahi mila",promise_to_pay,25,4500,credit line EMI,polite,bangalore,tomorrow,4500.0,,meeting,False,False
"Rajesh ji, aapka ₹9000 ka bike loan EMI 31 din se overdue hai. Legal notice bhejne ki zaroorat nahi hai, aap khud payment karein.","Bhai, mujhe 2 hafte ka time do, main 4500 bhej sakta hun, baaki 15 din mein pakka.",partial_payment,31,9000,bike loan EMI,evasive,delhi,15,4500.0,,request for time,False,True
Bhai ₹12000 ka EMI due ho gaya hai. Late fees bhi lag rahi hai. Settlement karne ke liye bol sakte hain. UPI link: https://upi.link/456,"Nahi kar sakta abhi, kuch din aur de do",refusal,14,12000,BNPL payment,evasive,delhi,kuch din,,,vague timeline,False,False
"Preeti ji, ₹18000 ka EMI 61 days se pending hai. Late fees bhi lag rahi hai, ₹5000 abhi bhej do.","Yaar, maine abhi₹2000 bheja hai, baaki ₹16000 kal bhejne ki koshish karta hun.",partial_payment,61,18000,mobile loan EMI,polite,delhi,tomorrow,16000.0,,temporary financial difficulties,False,False
"Sir, aapka ₹12000 ka business loan EMI 33 din se pending hai. UPI maadtini karke bekku karein.","Maine 2 hafte pehle UPI kar diya tha, aap log check karo",dispute,33,12000,business loan EMI,polite,bangalore,,,payment issue,technical issue,False,False
"Rajesh ji, ₹22000 ki EMI 16 din se pending hai. Aapka CIBIL score impact ho sakta hai, please settlement ka option dekhein.","Theek hai re, main kal tak ₹10000 deposit kar deta hun. Baaki ₹12000 next week",refusal,16,22000,credit line EMI,evasive,mumbai,tomorrow,10000.0,,request for partial payment,True,False
"Ramesh ji, aapki ₹18000 ki EMI 41 din se pending hai. CIBIL score par asar pad raha hai. Turant payment karein, nahi toh legal action lena padega.","Abhi nahi kar sakta, aap logon ko kuchh nahi pata hai, aap logon ko bas apna paisa chahiye 🤑",refusal,41,18000,credit line EMI,angry,delhi,,,,blame,True,True
"Rohan ji, ₹12000 ka EMI 61 days se pending hai. Poora amount turant bhar do, CIBIL score kharaab ho sakta hai.","Bhai, ghar ki situation theek nahi hai, ₹4000 abhi bhejta hun, baaki 2 hafte mein pakka karenge.",partial_payment,61,12000,mobile loan EMI,cooperative,delhi,15th,4000.0,,financial difficulties,True,False
"Sir ₹25000 EMI bohot din se pending hai. UPI se turant payment karein, nahi toh late fees lagu hoga.","Sun, ₹10000 abhi bhejta hun. Baaki kal tak bhejunga.",partial_payment,61,25000,credit line EMI,evasive,delhi,1,10000.0,,unspecified,False,False
"Yaar bhai ₹12000 EMI overdue hai, turant payment karwa dein.","Bhai ₹6000 abhi bhejta hun, baaki 10 tarikh ko pakka.",partial_payment,12,12000,credit line EMI,cooperative,delhi,10,6000.0,,,False,False
"Arjun ji, aapke ₹22000 ka BNPL payment 40 din se overdue hai. Thoda settlement karne ke liye soch lein, nahi to aapke CIBIL score par asar pad sakta hai.",Bhai ₹10000 abhi bhej sakta hun. Baaki 10 din mein pakka,partial_payment,40,22000,BNPL payment,worried,mumbai,10,10000.0,,,True,False
"Amit ji, ₹7500 ka EMI due hai 59 din ho gaye. Aapko definitely action lena padega. Kab tak payment karoge?","Sir, maine already payment kar diya hai. Aapke system mein update nahi hua hai.",dispute,59,7500,bike loan EMI,cooperative,hyderabad,,,payment not updated,system issue,False,False
"Boss ₹8000 EMI miss ho gayi. 28 din ho gaye. Payment karein, CIBIL score impact hoga.","Sorry anna, maine UPI kar diya tha. Aap log check karo, system mein gadbad hai 🙏",dispute,28,8000,credit line EMI,polite,hyderabad,,,payment not updated,system error,True,False
"Arre, Sameer ji ₹15000 EMI 43 din se pending hai. Legal notice bhi aa sakta hai. ₹7500 abhi bhej sakte hain?","Re, ₹7500 abhi nahi ho payega. ₹3750 abhi bhej raha hun, baaki 15 din mein pakka. Please legal notice mat bhejo",partial_payment,43,15000,business loan EMI,worried,mumbai,15,11250.0,,temporary financial difficulty,False,True
"Amit ji, ₹1800 EMI 16 din ho gaye. UPI se kar dein, CIBIL score kharaab ho jayega: rzp.io/pay","Kay re, itna pressure kyun? 2-3 din mein kar dunga",promise_to_pay,16,1800,mobile loan EMI,cooperative,mumbai,2-3 din,1800.0,,vague,True,False
"Anna ₹12000 EMI overdue hai, aapne kab tak payment karne ki soch hai? RBI guidelines ke mutabiq humein CIBIL update karna padta hai.","Boss ₹6000 abhi bhejta hun, baaki 10 din mein zaroor karenge, sorry for the delay 🙏",partial_payment,36,12000,mobile loan EMI,cooperative,hyderabad,10,6000.0,,financial difficulties,True,False
"Sunita ji, aapka ₹11000 ka EMI 84 days overdue hai. CIBIL score kharab ho jayega agar aapne settle nahi kiya.","Kuch nahi kar sakta, court mein milta hun 🙏",refusal,84,11000,mobile loan EMI,resigned,mumbai,,,,helplessness,True,False
"Sir, ₹8500 EMI 40 days overdue hai. Late fees lag gayi hai. Abhi UPI maadtini karein: rzp.io/pay, CIBIL score affect hoga.","Illa sir, thoda time de dijiye, bekku this week salary aayega 🙏",promise_to_pay,40,8500,BNPL payment,polite,bangalore,this week,8500.0,,salary delay,True,False
"Hi Ramesh ji, ₹12000 EMI pending hai. Late fees ₹500 lag gaya hai. ₹6000 abhi bhej sakte hain?",Bhai ₹3000 abhi bhejunga. Baaki 15 tarikh ko full kar dunga.,partial_payment,9,12000,personal loan EMI,cooperative,bangalore,15,9000.0,,,False,False
"Arre, ₹8500 EMI 59 din se pending hai. Late fees lag rahi hai, abhi tak kyun nahi kiya settlement? CIBIL score kharab ho jayega.","Nako, thoda time do, next month payment kar dunga. Abhi ghar mein problem chal raha hai 🙏",needs_more_time,59,8500,mobile loan EMI,polite,mumbai,next month,,,family_problem,True,False
"Yaar ₹8500 ka BNPL payment 23 din se pending hai, turant payment karein. Late fees lagu ho rahi hai.","Bhai maine 2 din pehle UPI se ₹8500 payment kar diya tha, aap check karke batayein.",dispute,23,8500,BNPL payment,cooperative,delhi,2 days ago,8500.0,payment made,technical issue,False,False
"Arre, ₹8500 EMI baki hai. 46 days ho gaye hain, aapki CIBIL score pe asar pad sakta hai. Kripya jaldi se payment karein.","Nako, maine 2 hafte pehle UPI se payment kar diya tha, aapke system mein koi gadbad hai.",dispute,46,8500,credit line EMI,angry,mumbai,,,payment not updated,technical issue,True,False
"Amit ji ₹9200 ka EMI aapka 55 din se pending hai. Aapko late fees bhi dena padega, nako settlement option bhi hai. Plz UPI se payment karein.","Sorry 🙏 maine 20 din pehle UPI kar diya tha aap check karo na, system mein gadbad hai",dispute,55,9200,BNPL payment,worried,pune,,,payment_already_made,,False,False
"Kumar ji ₹12000 bike loan EMI pending hai, 82 days ho gaye. UPI se payment karein, settlement offer bhi hai.","Boss, ₹6000 abhi bhej sakta hun, baaki 20 din mein zaroor karenge. Settlement offer kya hai?",partial_payment,82,12000,bike loan EMI,cooperative,hyderabad,20,6000.0,,,False,False
"Neha ji, ₹18000 EMI overdue hai. Late fees bhi lag rahi hai. Poora payment karein.","Kya karun, bhai? ₹9000 abhi bhej sakta hun, baaki 10 din mein",partial_payment,28,18000,credit line EMI,desperate,delhi,10 days,9000.0,,unforeseen expenses,True,False
"Sir ₹15000 ki bike loan EMI pending hai, 38 days ho gaye hain. UPI maadtini ₹15150 clear karein, illa late fees bhi lagega. CIBIL score bhi kharaab hoga.","Illa bekku sir, abhi nahi kar sakte. Kuch din aur de do",refusal,38,15000,bike loan EMI,polite,bangalore,,,,request_for_time,True,False
"Hi Vikas, ₹6500 credit line EMI 11 din se late hai. CIBIL score par asar pad raha hai. Turant payment karein.","Bhai sach mein business mein problem chal raha hai, next month double kar dunga, lekin abhi to aap please 10 din ka time de do 🙏",needs_more_time,11,6500,credit line EMI,cooperative,delhi,next month,13000.0,,business_problem,True,False
"Arjun ji, ₹3000 ka EMI time par nahi aaya. 9 din ho gaye, late fees lag rahi hai. Aap thoda settlement kar sakte hain? UPI se payment karein, link bhejta hoon.","Nako, main 7 din mein EMI kar dunga. Abhi thoda busy hoon.",needs_more_time,9,3000,business loan EMI,cooperative,hyderabad,7,3000.0,,busy,False,False
"Nitin ji, ₹24000 ka EMI 61 days se pending hai. Settlement offer hai ₹20000, turant bhar do.","Bhai, ₹18000 abhi bhejta hun, ₹2000 kal bhejne ki koshish karta hun.",partial_payment,61,24000,mobile loan EMI,cooperative,delhi,tomorrow,2000.0,,financial difficulties,False,False
"Sir ₹25000 ki bike loan EMI pending hai, 38 days ho gaye hain. UPI se ₹25180 clear karein, nahi toh legal action lena padega.","Kuch nahi karna hai, court mein milte hain",refusal,38,25000,bike loan EMI,angry,bangalore,,,,aggressive,False,True
"Sunil bhai, ₹7000 bike loan EMI 33 din se overdue hai. UPI se payment karein: rzp.io/pay. Late fees lag rahi hai, aur CIBIL score affect hoga. Settlement offer bhi samapth hone wali hai.","kya kar sakte hain bhai, office band hai. Ek hafte mein payment karwaunga, bolna kya hai?",promise_to_pay,33,7000,bike loan EMI,polite-firm,delhi,in a week,7000.0,,office closed,True,False
"Rahul sir, ₹9000 bike loan EMI bahut overdue hai. Turant UPI se payment karein, nahi to CIBIL score kharab ho sakta hai.","Yaar, time lagega, 1 mahine mein payment kar dunga, aap ek baar mauka de do",needs_more_time,15,9000,bike loan EMI,evasive,bangalore,1 mahine mein,9000.0,,,True,False
"Rahul ji, ₹9000 bike loan EMI pending hai. 29 days ho gaye. Abhi payment karo, nahi toh settlement ka option bhi khatam ho jayega.","Okay ra, kal tak payment kar dunga.",dispute,29,9000,bike loan EMI,evasive,hyderabad,kal,9000.0,,vague timeline,False,False
"Sir, aapka ₹11000 ka business loan EMI 33 din se pending hai. RBI guidelines ke mutabiq, aapko late fees deni padegi.","Abhi kuch din aur de do sir, main aapko payment kar dunga 🙏",dispute,33,11000,business loan EMI,desperate,bangalore,next week,11000.0,payment delay,financial difficulty,True,True
Anil ji ₹3800 pending hai. Bekku aap payment karein,yeh amount thodi zyada hai. maine ₹3200 hi loan liya tha,dispute,10,3800,credit line EMI,worried,bangalore,,,incorrect amount,,False,False
"₹6000 EMI miss ho gayi, 73 days overdue hai. Aap payment karein, CIBIL score affect ho sakta hai","Maine 15 din pehle payment kar diya tha, aapke system mein update nahi hua. Enti resolve cheyandi",dispute,73,6000,bike loan EMI,cooperative,hyderabad,,,payment,system update issue,True,False
"Arre Amit, ₹4000 ka EMI 31 din ho gaye. Abhi tak kyun nahi diya? Nako, CIBIL pe impact padega. UPI se jaldi karein: rzp.io/pay. Agar nahi kiya to settlement pe baat karni padegi","Kay bhai, thoda patience rakho. Kal transfer karta hoon 🙏",promise_to_pay,31,4000,personal loan EMI,polite,mumbai,kal,4000.0,,,True,False
"Rahul sir, ₹4200 EMI 17 din overdue. CIBIL score impact ho sakta hai. UPI se ₹4240 (late fees) jaldi karein: gpay.co/pay","bhai sorry, thoda tight hoon, 23rd ko zarur kar dunga 🙏",promise_to_pay,17,4200,BNPL payment,polite,bangalore,23rd,4240.0,,financial constraints,True,False
"Nako, ₹2800 EMI ke liye 48 din ho gaye. Abhi UPI se payment karein: rzp.io/pay. Late fees bhi lagech",Kay kar rahe ho? Itna pressure kyun?,promise_to_pay,48,2800,mobile loan EMI,angry,mumbai,,,,defensive,False,False
"Ravi ji ₹18000 EMI overdue hai, 31 days ho gaye. Aapko settlement ke liye bhi samjhana padega. ₹9000 abhi bhejne ki kripa karein."," ₹4500 abhi bhej raha hun, baaki 5 tarikh ko zaroor bhejunga. Aap log samjhana band kar do, samajh rahe hain.",partial_payment,31,18000,credit line EMI,cooperative,mumbai,5,4500.0,,,False,True
"Bhai, ₹6500 EMI due hai. CIBIL score maintain karna hoga, nahi toh loan milna mushkil hoga.","Sorry bhai, ₹6500 de sakte hai lekin ₹2000 extra charges kyun? Isme settlement ho sakta hai?",dispute,16,6500,bike loan EMI,cooperative,delhi,this week,5500.0,incorrect charges,negotiation,True,False
Dinesh ji aapka ₹25000 ka BNPL payment 78 days se due hai. Aapka CIBIL score kharab ho sakta hai. Settlement offer hai ₹20000 mein.,Yaar main koshish kar raha hun par ₹20000 bhi nahi ho pa raha. ₹15000 kar sakte hain?,refusal,78,25000,BNPL payment,desperate,hyderabad,,15000.0,,temporary financial difficulty,True,False
"Bhai, ₹9000 EMI 22 din se pending hai. ₹4500 abhi bhej sakte hain? CIBIL score impact ho sakta hai."," ₹4500 kal tak bhej dunga, baaki ₹4500 agle hafte tak pakka",partial_payment,22,9000,mobile loan EMI,worried,delhi,kal,4500.0,,delay in payment,True,False
"Ramesh ji ₹10000 EMI pending hai, 70 din ho gaye. UPI se payment karein ya CIBIL score kharab hoga.","Yaar mujhe thoda time chahiye, 5000 abhi bhej sakta hun baaki 10 tarikh ko",partial_payment,70,10000,personal loan EMI,polite,delhi,10 tarikh ko,5000.0,,,True,False
"Rohit ji ₹10000 EMI overdue hai, CIBIL score par impact pad sakta hai.","Sorry bhai ₹5000 abhi bhejta hun, baaki 20 tarikh ko pakka. Settlement karna padega kya?",partial_payment,12,10000,credit line EMI,worried,delhi,20,5000.0,,,True,False
"Yaar ₹12000 EMI 30 din se overdue hai. CIBIL score affect hoga, turant UPI se kar dein: rzp.io/pay","bhai sorry 🙏, kal salary aayegi, usse pehle kar dunga",promise_to_pay,30,12000,business loan EMI,polite,delhi,tomorrow,12000.0,,salary delay,True,False
"Rajesh ji, ₹15000 business loan EMI 49 din se pending hai. Aaj hi payment karein, nahi toh settlement karna padega.","Bhai, abhi nahi kar paunga, kal call back karo",needs_more_time,49,15000,business loan EMI,evasive,delhi,,,,time_request,False,False
Boss ₹22000 credit line EMI pending hai. Late fees bhi lag rahi hai. Chaliye kuch karte hain.,enti chal chal kuch din baad karta hun. Abhi thoda busy hun,refusal,26,22000,credit line EMI,evasive,hyderabad,,,,,False,False
Amit ji ₹18000 EMI 28 din overdue hai. CIBIL score impact hoga. Abhi karein: rzp.io/pay. Late fees ₹1500 lag rahi hai.,Kya kar sakte hai? Kabhi kabhi thoda tight ho jaata hai.,promise_to_pay,28,18000,personal loan EMI,evasive,hyderabad,,,,financial_difficulty,True,False
Suman ji ₹10000 personal loan EMI ka 15 din ho gaye. Aapko settlement offer karte hain. UPI se payment karein.,Kya kar sakte hain? Abhi paisa nahi hai. Please samajh lo.,refusal,15,10000,personal loan EMI,desperate,hyderabad,,,,no money,False,False
"Amit ji, ₹6500 EMI 38 din se overdue hai. Late fees ₹500 lag gayi hai. Turant UPI se payment karein.","Bhai sach mein paisa nahi hai, business mein loss chal raha hai. Agli saptah mein payment karne ki koshish karunga",needs_more_time,38,6500,credit line EMI,desperate,delhi,,,,business_loss,False,False
"Amit ji, ₹3500 EMI 16 din overdue hai. Aapki CIBIL score par impact pad raha hai. Abhi UPI se payment karein: rzp.io/pay","Bhai, mujhe thoda time do, next week pakka kar dunga 🤞",promise_to_pay,16,3500,personal loan EMI,cooperative,delhi,next week,,,,True,False
"Sir, ₹12000 EMI 25 din ho gaye due. Late fees bhi lagu hoga. CIBIL score affect hoga. UPI maadtini: rzp.io/pay","illa, beku. Tomorrow salary aayegi, transfer kar dunga 🙏",promise_to_pay,25,12000,credit line EMI,polite,bangalore,tomorrow,12000.0,,salary,True,False
"Yaar, ₹5700 ka EMI 80 din se due hai. Turant payment karein, nahi to legal action lena padega.","Sorry bhai, maine paise nahi hain, 15 din mein payment kar dunga. 🙏",dispute,80,5700,personal loan EMI,worried,delhi,15 din,5700.0,,financial issue,False,True
